eksperimen,konfigurasi,K,n_run,Precision,Recall,Hit,Faithfulness,Answer_Relevancy
Ablasi (K=5),Baseline,5,3,0.6402 ± 0.0000,0.8569 ± 0.0000,0.8958 ± 0.0000,0.5698 ± 0.0078,0.9025 ± 0.0047
Ablasi (K=5),HyDE,5,3,0.5961 ± 0.0152,0.8498 ± 0.0106,0.8843 ± 0.0106,0.5790 ± 0.0286,0.9027 ± 0.0037
Ablasi (K=5),CoT,5,3,0.6402 ± 0.0000,0.8569 ± 0.0000,0.8958 ± 0.0000,0.6251 ± 0.0167,0.8861 ± 0.0058
Ablasi (K=5),Proposed,5,3,0.5917 ± 0.0078,0.8482 ± 0.0048,0.8819 ± 0.0069,0.6087 ± 0.0049,0.8735 ± 0.0154
Variasi K,K=3,3,3,0.6559 ± 0.0179,0.8147 ± 0.0093,0.8519 ± 0.0106,0.5408 ± 0.0285,0.8386 ± 0.0209
Variasi K,K=5,5,3,0.5917 ± 0.0078,0.8482 ± 0.0048,0.8819 ± 0.0069,0.6087 ± 0.0049,0.8735 ± 0.0154
Variasi K,K=10,10,3,0.4728 ± 0.0106,0.8998 ± 0.0087,0.9352 ± 0.0080,0.6330 ± 0.0151,0.8965 ± 0.0081
Sensitivitas HyDE temp,0.2,5,3,0.6143 ± 0.0027,0.8607 ± 0.0110,0.8958 ± 0.0120,0.6010 ± 0.0180,0.8738 ± 0.0048
Sensitivitas HyDE temp,0.4,5,3,0.5898 ± 0.0072,0.8502 ± 0.0201,0.8866 ± 0.0212,0.6047 ± 0.0303,0.8735 ± 0.0077
Sensitivitas HyDE temp,0.7,5,3,0.5917 ± 0.0078,0.8482 ± 0.0048,0.8819 ± 0.0069,0.6087 ± 0.0049,0.8735 ± 0.0154
Sensitivitas CoT temp,0.2,5,3,0.5924 ± 0.0065,0.8456 ± 0.0177,0.8819 ± 0.0139,0.6035 ± 0.0278,0.8724 ± 0.0096
Sensitivitas CoT temp,0.5,5,3,0.6033 ± 0.0114,0.8526 ± 0.0053,0.8889 ± 0.0069,0.6105 ± 0.0097,0.8702 ± 0.0068
Sensitivitas CoT temp,0.7,5,3,0.5963 ± 0.0108,0.8448 ± 0.0071,0.8796 ± 0.0040,0.5993 ± 0.0257,0.8714 ± 0.0101
Sensitivitas panjang HyDE,50-80,5,3,0.6120 ± 0.0261,0.8394 ± 0.0237,0.8773 ± 0.0281,0.6169 ± 0.0191,0.8844 ± 0.0110
Sensitivitas panjang HyDE,100-150,5,3,0.5917 ± 0.0078,0.8482 ± 0.0048,0.8819 ± 0.0069,0.6087 ± 0.0049,0.8735 ± 0.0154
Sensitivitas panjang HyDE,200-250,5,3,0.5872 ± 0.0110,0.8438 ± 0.0209,0.8796 ± 0.0223,0.6105 ± 0.0059,0.8631 ± 0.0110
