paper_title,method,abstract_chars,abstract_preview
3D Patch Spatially Localized Network Tiles Enables for 3D Brain Segmentation,regex,1170,Brain cancer is so deadly that diagnosis accuracy will be required before brain surgery. Segmentation technology 26047301.3202.35106TCI/9011.01 is important for
A Combination Model of Shifting Joint Angle Changes With 3D-Deep Convolutional Neural Network to Recognize Human Activity,regex,3140,Research in the field of human activity recog- nition is very interesting due to its potential for various applications such as in the field of medical rehabili
A Comparative Analysis of Macroeconomic Indicators in Optimising Credit Risk Prediction,regex,1159,Credit risk modelling plays a role in financial institutions' evaluation of the creditworthiness of borrowers and in managing lending risks effectively. Feature
A Comparison of VGG Architecture Convolutional Layers in Migrating Batik Style into Fractal Shape,regex,1694,The neural style transfer algorithm is created to produce high-quality artistic images. Many studies have been performed to advance its implementations. However
A Deep Learning Approach for Word Segmentation in Javanese Letter Manuscript Transliteration,regex,987,"Traditionally written using the Javanese Letter or EEEI ""Aksara Jawa"" script, the Javanese language encompasses a 4202© rich corpus of manuscripts that record d"
A Novel Approach to Remote Detection in Medical Radar Applications Using Flexible Transmit Array Lenses,regex,1334,"This study introduces a novel method employing adaptable transmitarray lenses for medical radar systems, enhanc- ing the direction of electromagnetic beams in t"
A Novel Lo-Ra-Based Wireless Communication Module for Industrial Data Acquisition-Telemetry,regex,1028,The development of communication technology of industrial systems. One promising approach is the use of long-distance communication between sensors and industri
A Recommendation Model of REST API Testing Framework based on Resource Utilization of ISO - IEC 25010,regex,1320,"A recommendation model is needed to evaluate the REST API automated test framework based on its 00.13$/22/1-2155-4566-1-879 performance. In this study, the reco"
A Recommendation System for Internal Business Processes of COBIT 2019 Using Graph Algorithm and Similarity Methods,regex,1152,"In the dynamic digital landscape, automating IT 00.13$/42/3-1615-3053-8-979 management is crucial for organizational success and risk mit- igation. This study a"
A Transmitter Design for the Multi-beam CC-OFDM Azimuth Scanning MIMO Radar,regex,1073,"A conventional phased array radar provides a a large number of antenna elements. However, it does not beam that scans the whole angular view of the radar. This "
American Sign Language to Text Translation Using Transformer and Seq2Seq with LSTM,regex,968,"Sign language translation is one of the important issues in communication between deaf and hearing people, as it expresses words through hand, body, and mouth m"
An Analysis of the Wind Power Penetration Effect on Reduction the Harmonics Spread in Steady State Condition,regex,1218,"In the development of Renewable Energy Source, there are very crucial challenges that must be faced. One of the challenges and characteristics of renewable ener"
Analyzing Customer Willingness to Use Bike-Sharing Systems in Developing Countries An Agent-Based Modeling and Simulation of Surabaya Residents,regex,1377,This research focuses on identifying and analyzing pivotal influencing factors and their interaction in shaping customer willingness to use (WTU) Bike-Sharing S
Automated Extraction of Microservice Architecture Using a Rule-Based Approach,regex,821,"Microservices offer a modular approach to software architecture, enhancing flexibility and scalability. This paper introduces an automated extraction method for"
Battery Monitoring System to Obtain State of Charge and State of Health on Electric Vehicles,regex,1032,"Battery is the main component used in electrical vehicle. However, various issues often arise, such as sudden vehicle failure due to the absence of available ba"
Brainwave Monitoring in Epileptic Pediatric Patient using MSAR-Normal- MSAR-Azzalini- and MSARExponential Power,regex,1506,"This study aims to model brain wave data in children with special needs, specifically focusing on epilepsy, using the Markov Switching Autoregressive (MSAR) mod"
Centralized Control Approach in Managing Zone Based Routing to Improve MANET Performance,regex,1503,Mobile Ad hoc Network (MANET) is one of the technologies from network development in which mobile devices 96709601.4202.14026CCSCI/9011.01 communicate with each
Comparative Analysis of ConvNext and Mobilenet on Traffic Vehicle Detection,regex,1806,"Traffic vehicle detection plays important role in making decision about maintenance of a road section. However, the method to conduct it still used traditional "
Comparative Study of Statistical- Machine Learning- and Deep Learning for Rice Retail Price Forecasting in West Java,regex,942,"This research investigates the effectiveness of EEEI machine learning (ML), deep learning (DL), and statistical 4202© algorithms for forecasting rice retail pri"
Conflict Detection of Functional Requirements Based on Clustering and Rule-Based System,regex,676,Functional requirement identification is the initial step in the success of software development. Good functional with each other or conflict-free. There are al
Consumer Behavior in Social Commerce Adoption Systematic Literature Review,regex,1037,"Social commerce is a new trend in online shopping, which is different from e-commerce. Nowadays, social commerce is widely used because it complements the benef"
Cross-Subject Channel Selection Using Modified Relief and Simplified CNN-Based Deep Learning for EEG-Based Emotion Recognition,regex,972,"Emotion recognition based on EEG has been them, there are two observations made: first, extensive performed validation. Cross-subject validation is more difficu"
