user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy
"in improved validation results. Using the previous method, Res U-Net produced the best loss value in the validation set generated from the training dataset in 142 epochs. However, by using our proposed approach, the architecture achieves almost identical results, with a loss value of 0.6838005 over 125 epochs. Thereafter, it continues to improve and displays the best results at 152 epochs. The Dense U-Net result shows the most significant results. Since Dense U-Net requires higher computational power due to the dense block used, the training time of this architecture is generally slower than two other architectures. Using our proposed method, the network training time can be significantly faster. However, our method produces better segmentation results and requires a shorter training","['. First, the direction of 1) U-Net change needed to lower the loss is indicated by the gradient of U-Net is an architecture of CNN used for image segmentation that was first introduced by [7] and has become a pop- the loss function at the tth iteration, or g. Adam calculated t ular choice CNN architecture. Generally, CNNs have layers the first weighted average (m) and the second weighted aversuch as convolutional layers, pooling layers, and fully con- t age (v ) in order to handle this gradient', '. This integrated approach ensures segmentation further optimizes performance by combining a more robust segmentation by leveraging the strengths of different machine-learning strategies to refine accuracy and both methodologies. In addition, rule-based and deep learning adaptability, as explored in the work by scholars at Brandeis techniques also play significant roles [11], [21], [30], [31]. University [20]–[22]', '. The recent advances in medical image segmentation also involve deep learning techniques, such as the U-Net architecture, a convolution neural network (CNN) architecture designedformedicalimagesegmentation[15]', '. The results of the training indicate that LinkNet has a 13% faster training time when compared to U-Net. designs are inappropriate for medical image processing. AdThe highest training and validation accuracies achieved by vances in medical image processing architecture combined Link-Net are 0.9973 and 0.9941. Link-Net is also superior by ob- with the development of deep learning technology have led to taining the highest F1 Score of 0.9636 throughout the testing a paradigm shift in image segmentation', '. Fig. 3. Segmentation evaluation metrics IV. EXPERIMENTAL RESULT In this section, the dataset used and how it was prepared will be described. Furthermore, the results achieved in the ... ꦏꦃꦺ ꦲ|ꦠꦤ꧀|ꦺ ꦧꦭꦤ꧀|ꦒꦸꦒꦸꦫꦸ|ꦲꦉꦧꦸꦠ˛|ꦏꦤ¸ ꦭ꧀|ꦏꦫꦶꦪꦶꦤ꧀|ꦒꦸꦱ˛ ꦶ|ꦥꦶ experiment will be explained']","U-Net, an architecture of CNN used for image segmentation, has been shown to be a popular choice in various segmentation tasks (Referensi 1).","num- ber of parameters is directly proportional to the results of the average loss and average accuracy in training and validation. The U-Net design performs better than Link-Net on average, with smaller training and validation loss values and higher training and validation accuracy values. Table 1 show that the average loss in U-Net is 21% greater than Link-Net, but with the sacrifice of longer training time. So that the Link-Net ar- chitecture provides more stable and parsimonious results. TABLE I. PERFORMANCE SUMMARY OF U-NET AND LINK-NET ARCHITECTURES Training Validation Model U-Net Link- Net Average Loss (St. Dev.) 0.0101 (0.0065) 0.0123 (0.0076) Average Accuracy (St. Dev.) 0.9956 (0.0027) 0.9948 (0.0027) Average Loss (St. Dev.) 0.0188 (0.0194) 0.0216 (0.0057) Average Accuracy (St.",0.6666666666666666,0.8623488462657675
"company goals by proposing a novel recommendation system for internal business processes, grounded in the COBIT 2019 framework. The system employs graph algorithms to map relationships, semantic similarity measure- ments to align enterprise goals with management objectives, and LSTM combined with TF-IDF methods to analyze and recommend specific activities. Experimental results show that this system optimizes IT management practices, enhances operational efficiency, and ensures regulatory compliance. Additionally, a user-friendly graphical representation of internal business pro- cesses using Neo4j enables stakeholders to visualize complex relationships within the COBIT framework, facilitating informed decision-making. This research advances IT governance practices by providing organizations with a valuable tool to automate and improve IT strategies, effectively achieving business objectives. Index Terms—COBIT 2019, graph algorithms, IT","['. They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP', '. Among these frameworks, COBIT is globally recognized Frequency-Inverse Document Frequency (TF-IDF) calculation for overseeing Enterprise Information and Technology (I&T) and measuring similarity between strategy nodes to identify comprehensively, covering all systems regardless of their lo- relevanceandinfluenceamongstrategycomponents.Themain cation within the organization', '. I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V', '. It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities', '. Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics']",The proposed recommendation system utilizes a weighted graph approach to enhance IT governance and demonstrates the effectiveness of COBIT 2019 in managing IT risks (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).,"research introduces a novel Activity Recom- mendation System built on the COBIT 2019 framework tailored for Financial Balance Scorecard. The motivation stems from the challenges faced by auditors when identifying essential activities aligned with strategy of a company, often hindered by manual COBIT 2019 guideline navigation. To address this, a system was developed, where inputting the company strategy, triggers the display of recommended activities automatically. The methodology involved creating interconnected nodes from COBIT 2019 Element in Neo4J. This research uses a real strategy plan case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using TF-IDF and cosine similarity. Goals with high similarity scores trigger a graph query to reveal connected",0.0,0.9112746777632178
"assist organizations in managing and optimizing their use of information technology (IT) . landscape, effective IT In today’s rapidly evolving digital governance is essential for organizations to ensure that their IT investments align with business objectives, comply with regulations, and mitigate risks . COBIT 2019 provides a structured approach for organiza- tions to establish, implement, and maintain effective gover- nance over IT. It defines the components necessary to create and sustain a governance system, as well as guidelines for building the most suitable governance system for an enterprise . By utilizing COBIT 2019, organizations can enhance the efficiency, effectiveness, and reliability of their IT usage, while also ensuring compliance with relevant regulations, policies, and standards . One of the key","['. Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics', '. I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V', '. EVALUATION METRICS contract. Models MAE RMSE R2 MAPE In the field of IT governance, the combination of machine Linear Regression 4.32 6.01 0.72 40.20 learning methodologies with COBIT 2019 analytics provides Decision Tree 7.33 10.29 0.18 64.64 a robust framework to ensure that the IT management Random Forest 5.13 8.11 0.49 43.10 Gradient Boosting 4.67 7.11 0.61 41.79 methodology is consistent with global measurements and SVM 5.95 10.29 0.18 38.57 optimum methodology', '. The organizations can prioritize processes, set target capability methodology of this research consists of several main steps, levels, and design effective governance systems for IT which are illustrated in Fig. 1. The following is a detailed projects [17], [18]. Implementing COBIT 2019 in software description of each step: development projects allows for mapping IT resources, prioritization of governance objectives, and alignment of A', 'Optimizing IT Governance and Project Management in Software Development through AI Integration and COBIT 2019 Framework Joko Slamet Hartono Saputro Andy Teguh Department of Informatics Department of Informatics Department of Informatics Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Surabaya, Indonesia Surabaya, Indonesia Surabaya, Indonesia 6025231063@student.its.ac.id 60252310@student.its.ac.id 6025231047@student.its.ac.id Riyanarto Sarno Kelly']","Organizations can utilize COBIT metrics to evaluate and improve the quality of IT governance while ensuring compliance with regulations and enhancing operational efficiency (Hartono Saputro et al., 2023).","process, an audit involves acquiring and objectively evaluating evidence related to allegations of economic activities and other operations. The aim is to assess the level of conformity between the reports and predefined criteria, and to communicate the results to relevant users, in this case, the organization responsible for establishing information system gover nan nance. One of the proven frameworks for information system auditing is the Control Objectives for Information and Related Technology (COBIT) 2019, which is utilized as the reference framework in this research . COBIT 2019 offers an effective methodology for evaluating the capability of information technology processes, specifically focusing on Deliver, Service and Support - Operation Management. This framework guarantees that the data (DSS01) is received, managed fully,",0.8,0.9173539899072451
"technology, thus helping them achieve their business objectives more effectively . Several previous papers still rely on manual approaches to COBIT 2019, which have limitations in providing automated recommendations for audit activities based on company goals. Thus, this research contributes significantly by addressing this gap and overcoming the challenges associated with manual COBIT utilization. The primary objective of this paper is to develop a rec- ommendation system that aligns with the internal business process strategy governed by COBIT 2019. This system aims to help organizations manage risk, ensure compliance, and enhance performance in the context of information technology. To achieve this, the research will utilize graph algorithms to build a recommendation system based on the internal business processes outlined in","['. They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP', '. After executing the Graph Query utility and influence in enterprise governance and audit manSearch process, 1131 activities related to EG01 and 278 agement. Future upgrades could focus on enhancing the user activities related to EG02 were identified', '. Previous Research of Audit using COBIT 2019 based on semantic similarities, preprocessing data to calculate PreviousresearchonauditingwithCOBIT2019hasinvestithese similarities and effectively merging nodes and relationgated multiple facets of IT governance and auditing, applying ships. the framework across diverse domains and industries', '. The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I', '. The example results of the input preprocessing are solution to the challenges faced by auditors in identifying presented in TABLE VII. and aligning activities with company strategy']",The framework developed in this study demonstrates significant benefits in enhancing IT governance and managing risks associated with COBIT 2019.,"process, an audit involves acquiring and objectively evaluating evidence related to allegations of economic activities and other operations. The aim is to assess the level of conformity between the reports and predefined criteria, and to communicate the results to relevant users, in this case, the organization responsible for establishing information system gover nan nance. One of the proven frameworks for information system auditing is the Control Objectives for Information and Related Technology (COBIT) 2019, which is utilized as the reference framework in this research . COBIT 2019 offers an effective methodology for evaluating the capability of information technology processes, specifically focusing on Deliver, Service and Support - Operation Management. This framework guarantees that the data (DSS01) is received, managed fully,",0.3333333333333333,0.8973644818788481
"is linked to the appropriate business objec- tives and control needs, thus enhancing overall governance effectiveness . One effective way to perform this mapping is by utilizing a graph database such as Neo4j . Neo4j is a graph database specifically designed to store and manage data with complex relationships . In the context of COBIT 2019, Neo4j can be utilized to build dynamic graphical representations of various COBIT elements . By using Neo4j, organizations can create dynamic and interactive graphical models to better understand and manage the complex relationships between different COBIT 2019 elements . This allows for deeper analysis, real-time monitoring, and better decision-making in IT management, ultimately aiding in the achievement of business goals . In summary, this","['. They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP', '. in achieving organizational objectives and emphasized the W-LTLDAG effectively distinguishes between graphs with importance of implementing IT governance practices', '. 2020, pp. Information System Governance using Framework COBIT 2019,” 61–70. doi: 10.1145/3416508.3417119. International Journal of Computer Applications, vol. 174, no. 31, pp. [25] A. E. Karrar, “The Effect of Using Data Pre-Processing by Imputations 23–30, Apr. 2021, doi: 10.5120/ijca2021921253. in Handling Missing Values,” Indonesian Journal of Electrical [7] A. A. Aibinu and E. Papadonikolaki, “Conceptualizing And Engineering and Informatics (IJEEI), vol. 10, no. 2, Apr', '. Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics', '. After executing the Graph Query utility and influence in enterprise governance and audit manSearch process, 1131 activities related to EG01 and 278 agement. Future upgrades could focus on enhancing the user activities related to EG02 were identified']","The study provides recommendations to enhance IT governance, emphasizing the effectiveness of COBIT 2019 in managing IT risks (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).","COBIT Core Model and Capability Scores, it is necessary to undergo a mapping process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor should auditing multiple companies simultaneously. This research aim to simplify the process to get Activities of COBIT 2019 automatically from Input Text Company Strategy that aligned with the description of related Enterprise Goals. This research adopts Neo4j, a graph database platform, to manage KG and process data related to these objectives, to gain deeper and more applicable insights into the relationships between strategic and operational objectives in a company . Furthermore, this research also involves the function of preprocessing the input text in the form of Company Strat- egy using",0.6666666666666666,0.9190464354781962
"tool for processing sequential data and learning long-term dependencies, making it a crucial component in many applications of artificial intelligence and machine learn- ing. Choose Suitable Enterprise Goal based on Company Goal by using Similarity LSTM-TF IDF. III. METHODOLOGY III. METHODOLOGY This section outlines the methodology for developing a recommendation system based on COBIT 2019’s internal business processes. The approach integrates data collection, preprocessing, graph database modeling with Neo4j, and rec- ommendation generation using graph algorithms and similarity methods. The complete process shown in figure 1 A. Input Dataset The input dataset comprises information from the COBIT 2019 framework, including internal business processes, control objectives, IT processes, and related elements. Additionally, company-specific goals are incorporated to ensure that the recommendations","['. It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities', '. They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP', 'Technology Informatics Technology Informatics Technology Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Institut Teknologi Sepuluh Nopember Surabaya, Indonesia Surabaya, Indonesia Surabaya, Indonesia haznaatthoriqoh@gmail.com siti@if.its.ac.id chastine@if.its.ac.id Muhamma d Alfian Department of Informatics Faculty of Intelligent Electrical and Informatics Technology Institut Teknologi Sepuluh Nopember Surabaya, Indonesia ini.muhalfian@gmail.com Abstract— A recommendation model is', '. Sheoraj and R. K. Sungkur, “Using AI to develop a framework to Application in Information and Telecommunication Systems prevent employees from missing project deadlines in software projects (WECONF), IEEE, May 2023, pp. 1–4. doi: - case study of a global human capital management (HCM) software 10.1109/WECONF57201.2023.10148004. company,” Advances in Engineering Software, vol. 170, p. 103143, [29] L. Santos and L. Ferreira, “Atlantic—Automated Data Preprocessing 2022, doi: 10.1016/j.advengsoft.2022.103143', '. EG04 DSS05.03 ACT05 Company [11] Y. Setiawan, K. Sungkono, and R. Sarno, “A new similarity EG04 DSS05.07 ACT03 EG04 MEA01.01 ACT05 methodbasedonweightedgraphmodelsformatchingparallel ITHealthcareCompany EG04 MEA01.02 ACT01 businessprocessmodels,”InternationalJournalofIntelligent EG04 MEA01.03 ACT04 Engineering and Systems, vol. 13, no. 5, pp. 267–276, 2020. DOI: 10.22266/ijies2020.1031.24. [12] K. N. Aisyah, K. R. Sungkono, and R. Sarno, “A new similarity method based on weighted-linear temporal logic VI']","The methodology includes a comparison of enterprise goals using TF-IDF and cosine similarity, which triggers graph queries to identify connected activities (Referensi 1).","IX, it can serve as an internal reference for the company to assess its capability to meet these criteria and can also serve as a reference for formulating policies to prioritize the implementation of these activities in the future. V. CONCLUSION V. CONCLUSION In conclusion, the developed Activity Recommendation System based on COBIT 2019 framework offers a practical solution to the challenges faced by auditors in identifying and aligning activities with company strategy. By leveraging NLP techniques and graph queries, the system efficiently matches user input of company strategy with relevant activities automatically, eliminating the need for manual navigation through COBIT 2019 guidelines. The effectiveness of the system was demonstrated by in- putting company strategies from three companies in different",0.75,0.892302834064789
"used as references for the next graph query execution to obtain the required activities. The output matches the mapping results, displaying only activities that correlate with Enterprise Goal EG02, which describes ”Optimization of business process functionality.” Using Algorithm 3, a graphical representation is created, as Fig. 3. Mapping Alignment Goals (AG) Fig. 4. Mapping Objectives illustrated in Figure 5. This graphical representation allows users to easily visualize the need for additional activity recommendations without documentation such as spreadsheets, thereby reducing the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations","['. They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP', '. It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities', '. The system provided a list of recommended activities objective.Mostofthegoals(EG03,EG04)shownoalignment that can be undertaken to achieve strategic objectives of each (similarity score of 0), suggesting that these goals do not companies. contribute to or are unrelated to risk reduction', '. The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I', "". 1–5. doi: 10.1109/eSmarTA59349.2023.10293688. significant inefficiencies within the hospital's billing system, [8] C. Stephanie and R. Sarno, “Detecting Business Process Anomaly Using Graph Similarity Based on Dice Coefficient, Vertex Ranking pinpointing several critical bottlenecks that can be targeted and Spearman Method,” in 2018 International Seminar on Application for process improvements""]",The system provided a list of recommended activities that can be undertaken to achieve strategic objectives of each company (Referensi 3).,"research introduces a novel Activity Recom- mendation System built on the COBIT 2019 framework tailored for Financial Balance Scorecard. The motivation stems from the challenges faced by auditors when identifying essential activities aligned with strategy of a company, often hindered by manual COBIT 2019 guideline navigation. To address this, a system was developed, where inputting the company strategy, triggers the display of recommended activities automatically. The methodology involved creating interconnected nodes from COBIT 2019 Element in Neo4J. This research uses a real strategy plan case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using TF-IDF and cosine similarity. Goals with high similarity scores trigger a graph query to reveal connected",0.6666666666666666,0.8576428334349636
"the need for extra work. V. CONCLUSION V. CONCLUSION This paper propose a novel recommendation system for internal business processes based on the COBIT 2019 frame- work. By integrating graph algorithms and similarity methods, our approach provides tailored activity recommendations that align with an organization’s strategic goals. We mapped enter- prise goals to management objectives, identified relevant ac- tivities, and used graph queries to retrieve actionable insights. Utilizing Cypher Query Language (CQL) and Neo4j’s graph database, we created an interactive graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals,","['. They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP', '. The results show a list of recommended activities based on the company In previous research, as found in the paper [3], [4], [5] strategy, this can simplify the company audit process. and [6] to obtain Activities from the COBIT Core Model Keywords—Audit Management, COBIT 2019, Cosine Similar- and Capability Scores, it is necessary to undergo a mapping ity, Financial, Knowledge Graph, Neo4J process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor I', '. It is like building a map of knowledge, case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using whereeachpieceofinformationisapointconnectedtoothers TF-IDF and cosine similarity. Goals with high similarity scores by lines that show how they are linked [2]. trigger a graph query to reveal connected activities', '. I. Fianty and M. Brian, “Leveraging COBIT 2019 Framework to 10.1080/00949655.2012.658804. Implement IT Governance in Business Process Outsourcing [35] T. M. Oshiro, P. S. Perez, and J. A. Baranauskas, “How Many Trees in Company,” Journal of Information Systems and Informatics, vol. 5, no. a Random Forest?”, In Machine Learning and Data Mining in Pattern 2, pp. 568–579, May 2023, doi: 10.51519/journalisi.v5i2.492. Recognition: 8th International Conference, MLDM 2012, Berlin, [18] S. Dhir, D. Kumar, and V']","The proposed system enhances IT governance by using a weighted graph approach to measure similarities in business processes, thereby identifying areas for improvement (Novel Activity Recommendation System of Financial Balance Scorecard for COBIT 2019 Based on Company Strategy).","research introduces a novel Activity Recom- mendation System built on the COBIT 2019 framework tailored for Financial Balance Scorecard. The motivation stems from the challenges faced by auditors when identifying essential activities aligned with strategy of a company, often hindered by manual COBIT 2019 guideline navigation. To address this, a system was developed, where inputting the company strategy, triggers the display of recommended activities automatically. The methodology involved creating interconnected nodes from COBIT 2019 Element in Neo4J. This research uses a real strategy plan case study from 3 different companies as input, followed by a preprocessing step, then compares it to Enterprise Goals using TF-IDF and cosine similarity. Goals with high similarity scores trigger a graph query to reveal connected",0.5,0.8923419460702718
"graphical representation of COBIT 2019-governed processes. This allows organizations to visualize relationships between COBIT elements, facilitating deeper analysis, real-time monitoring, and informed IT man- agement decisions. Our results demonstrated the system’s effectiveness in sug- gesting activities tailored to enterprise goals, enhancing IT management practices and operational efficiency. The Neo4j visualization tool offers a user-friendly interface for explor- ing COBIT framework relationships, enabling stakeholders to make data-driven decisions. TABLE III SIMILARITY SCORE Enterprise Goal (EG) Optimization of business process functionality Optimization of business process costs Staff skills, motivation and productivity Compliance with internal policies Similarity 0.5701785 0.29179826 0.02301607 0.029643951 M. M. Jawad, M. H. Ali, A. A. Khaleel, and M. F. Hasan, “Evaluating the performance of it management under the implementation","['. They identified areas for improvement and which uses a weighted graph approach to measure similarprovided recommendations to enhance IT governance, emities in parallel business process models by considering the phasizing effectiveness of COBIT 2019 in managing IT risks. frequency of activity relationships. This method outperforms Thesestudieshighlightthebenefitsofframeworkinimproving traditional approaches like GMA, WGED, WNARS, TPED, IT governance in educational institutions. and Cosine-TDP', '. Using COBIT metrics, organizations XGBoost 4.29 6.34 0.69 40.45 can evaluate and improve the quality of IT Governance, LightGBM 4.74 7.53 0.56 45.14 ensure compliance with regulatory provisions, and improve CatBoost 4.25 6.53 0.67 36.26 operational efficiency. As a result, these initiatives not only are presented in Table IV using MAE, RMSE, R², and MAPE improve the efficiency of project planning and execution but me trics', '. COBIT 2019 offers an COBIT 2019 for DSS01 Objective, particularly as a method effective methodology for evaluating the capability of of collecting and validating data within the process assessment information technology processes, specifically focusing on program. Experiments are conducted by analyzing Deliver, Service and Support (DSS01) - Operation performance and identifying bottlenecks in event logs related Management', '. Create Graph Database ACT01 ternal and external environmental factors (legal, regula- After the completion of the Mapping process, the next step tory and contractual obligais to create nodes and their relationships using Neo4J Graph tions) and trends in the businessenvironmentthatmayin- DatabaseTools,inordertoconstructaKnowledgeGraphfrom fluencegovernancedesign the mapped results', '. in achieving organizational objectives and emphasized the W-LTLDAG effectively distinguishes between graphs with importance of implementing IT governance practices']",The study emphasizes the effectiveness of COBIT 2019 in managing IT risks and provides recommendations to enhance IT governance (Referensi 1).,"COBIT Core Model and Capability Scores, it is necessary to undergo a mapping process according to the instructions in the COBIT 2019 manual. This can be time-consuming, especially when auditor should auditing multiple companies simultaneously. This research aim to simplify the process to get Activities of COBIT 2019 automatically from Input Text Company Strategy that aligned with the description of related Enterprise Goals. This research adopts Neo4j, a graph database platform, to manage KG and process data related to these objectives, to gain deeper and more applicable insights into the relationships between strategic and operational objectives in a company . Furthermore, this research also involves the function of preprocessing the input text in the form of Company Strat- egy using",0.6666666666666666,0.9324680488662209
"(TP+FP). To determine how well a positive value is found, recall is employed. It applies true positives (TP) to all ground truth values, which include both true positives and false negatives (FN). The F1 score is an evaluation metric that combines a model’s precision and recall scores, as illustrated in the equation that calculates accuracy. The accuracy statistic computes the number of times the iYOLOV7-TPE-SS model predicted accurately throughout the entire dataset , : F1score = 2 · (P · R) (P + R) (13) The system performance of the iYOLOV7-TPE-SS model has been evaluated using a metric known as mean average accuracy (mAP), which takes into account the average recall (AR), F1-score, and inference time. The inference time has","['. PRECISION, RECALL, AND F1 SCORE (IOU @ 50) FOR EACH CLASS Backbone Metrics Healthy Mismngd Smallish Yellowish Dead Average Precision 0.970 0.635 0.871 0.498 0.376 0.670 MobileNetV3-Large Recall 0.987 0.695 0.924 0.886 0.770 0.852 F1 Score 0.978 0.663 0.897 0.637 0.505 0.736 Precision 0.985 0.865 0.929 0.894 0.662 0.867 EfficientNetV2-S Recall 0.968 0.474 0.781 0.859 0.770 0.770 F1 Score 0.977 0.612 0.849 0.876 0.712 0.805 various confidence thresholds and object classes', '. This study chose to adopt EfficientNetV2-S, the baseline architecture from this family, due to computational resource reasons to construct a smaller model while still maintaining model performance. The EfficientNetV1 family is the backbone of the EfficientDet family, which has achieved state-of-the-art results on object detection challenges. C. Model Evaluation Evaluation Metrics used in this study to evaluate model performance are precision, recall, and F1 Score', '. 𝐼𝑜𝑈= 𝐴𝑟𝑒𝑎 𝑜𝑓 𝑂𝑣𝑒𝑟𝑙𝑎𝑝 (4) MobileNetV3 and EfficientNetV2 prioritize efficiency and 𝐴𝑟𝑒𝑎 𝑜𝑓 𝑈𝑛𝑖𝑜𝑛 accuracy, but they achieve this through different The metric mean Average Precision (mAP) is architectural choices. MobileNetV3 enhances the previous introduced in COCO dataset evaluation metrics and is version with squeeze-and-excitation layers and h-swish widely used in object detection studies as a benchmark for non-linearity [18], while EfficientNetV2 focuses on evaluating and comparing model performance', '. The mAP efficient scaling [19]. provides a comprehensive evaluation of the object detection model. mAP considers precision and recall values across Authorized licensed use limited to: Institut Teknologi Sepuluh Nopember. Downloaded on July 14,2025 at 08:18:27 UTC from IEEE Xplore. Restrictions apply.', 'ity, ultimately improving detection results']","The mean Average Precision (mAP) metric is utilized in object detection studies to evaluate and compare model performance, accounting for precision and recall values (Referensi 3).","with the following formula: TP + TN TP + TN + FP + FN Accuracy = Precision = Recall/True Positive Rate(TPR) TP TP + FP TP TP + FN F1 = 2 × precision × recall precision + recall FP TN + TP (cid:90) 1 TPRd(FPR) False Positive Rate(FPR) = AUC = (4) (5) (6) (7) (8) (9) where TP is the number of correctly predicted positive labels, TN is the number of correctly predicted negative labels, FP is the number of incorrectly predicted positive labels, and FN is the number of incorrectly predicted negative labels. Accuracy is the ratio of true predictions to the overall data. Precision is the ratio between TP to the total number of positive predic-",0.75,0.9253864578599215
