run,eksperimen,konfigurasi,K,Precision,Recall,Hit,Faithfulness,Answer_Relevancy
1,Ablasi (K=5),Baseline,5,0.6402,0.8569,0.8958,0.5731,0.8972
2,Ablasi (K=5),Baseline,5,0.6402,0.8569,0.8958,0.5755,0.9047
3,Ablasi (K=5),Baseline,5,0.6402,0.8569,0.8958,0.5609,0.9058
1,Ablasi (K=5),HyDE,5,0.5863,0.8405,0.875,0.5755,0.9002
2,Ablasi (K=5),HyDE,5,0.6137,0.8613,0.8958,0.6091,0.901
3,Ablasi (K=5),HyDE,5,0.5884,0.8475,0.8819,0.5522,0.907
1,Ablasi (K=5),CoT,5,0.6402,0.8569,0.8958,0.6102,0.8856
2,Ablasi (K=5),CoT,5,0.6402,0.8569,0.8958,0.622,0.8921
3,Ablasi (K=5),CoT,5,0.6402,0.8569,0.8958,0.6431,0.8806
1,Ablasi (K=5),Proposed,5,0.6006,0.8498,0.8819,0.6141,0.8912
2,Ablasi (K=5),Proposed,5,0.5889,0.8521,0.8889,0.6044,0.8655
3,Ablasi (K=5),Proposed,5,0.5858,0.8428,0.875,0.6077,0.8639
1,Variasi K,K=3,3,0.6377,0.8139,0.8542,0.5736,0.8627
2,Variasi K,K=3,3,0.6562,0.8058,0.8403,0.5265,0.8281
3,Variasi K,K=3,3,0.6736,0.8243,0.8611,0.5222,0.825
1,Variasi K,K=5,5,0.6006,0.8498,0.8819,0.6141,0.8912
2,Variasi K,K=5,5,0.5889,0.8521,0.8889,0.6044,0.8655
3,Variasi K,K=5,5,0.5858,0.8428,0.875,0.6077,0.8639
1,Variasi K,K=10,10,0.4834,0.909,0.9444,0.6351,0.903
2,Variasi K,K=10,10,0.4729,0.8917,0.9306,0.617,0.8991
3,Variasi K,K=10,10,0.4622,0.8986,0.9306,0.6469,0.8873
1,Sensitivitas HyDE temp,0.2,5,0.6154,0.8731,0.9097,0.5839,0.8793
2,Sensitivitas HyDE temp,0.2,5,0.6162,0.8523,0.8889,0.5992,0.8706
3,Sensitivitas HyDE temp,0.2,5,0.6112,0.8567,0.8889,0.6197,0.8716
1,Sensitivitas HyDE temp,0.4,5,0.589,0.8498,0.8819,0.5882,0.8646
2,Sensitivitas HyDE temp,0.4,5,0.5973,0.8303,0.8681,0.6397,0.8777
3,Sensitivitas HyDE temp,0.4,5,0.5831,0.8706,0.9097,0.5863,0.8781
1,Sensitivitas HyDE temp,0.7,5,0.6006,0.8498,0.8819,0.6141,0.8912
2,Sensitivitas HyDE temp,0.7,5,0.5889,0.8521,0.8889,0.6044,0.8655
3,Sensitivitas HyDE temp,0.7,5,0.5858,0.8428,0.875,0.6077,0.8639
1,Sensitivitas CoT temp,0.2,5,0.5917,0.8301,0.8681,0.5947,0.8704
2,Sensitivitas CoT temp,0.2,5,0.5863,0.8419,0.8819,0.6346,0.8829
3,Sensitivitas CoT temp,0.2,5,0.5992,0.8648,0.8958,0.5811,0.8641
1,Sensitivitas CoT temp,0.5,5,0.6089,0.8581,0.8958,0.6217,0.878
2,Sensitivitas CoT temp,0.5,5,0.5902,0.8475,0.8819,0.605,0.8669
3,Sensitivitas CoT temp,0.5,5,0.6108,0.8523,0.8889,0.6047,0.8656
1,Sensitivitas CoT temp,0.7,5,0.5859,0.837,0.875,0.6289,0.8762
2,Sensitivitas CoT temp,0.7,5,0.6075,0.8509,0.8819,0.5833,0.8782
3,Sensitivitas CoT temp,0.7,5,0.5956,0.8463,0.8819,0.5858,0.8598
1,Sensitivitas panjang HyDE,50-80,5,0.615,0.8581,0.9028,0.6362,0.8792
2,Sensitivitas panjang HyDE,50-80,5,0.6365,0.8475,0.8819,0.598,0.8769
3,Sensitivitas panjang HyDE,50-80,5,0.5846,0.8127,0.8472,0.6165,0.897
1,Sensitivitas panjang HyDE,100-150,5,0.6006,0.8498,0.8819,0.6141,0.8912
2,Sensitivitas panjang HyDE,100-150,5,0.5889,0.8521,0.8889,0.6044,0.8655
3,Sensitivitas panjang HyDE,100-150,5,0.5858,0.8428,0.875,0.6077,0.8639
1,Sensitivitas panjang HyDE,200-250,5,0.5778,0.8572,0.8958,0.6122,0.8753
2,Sensitivitas panjang HyDE,200-250,5,0.5846,0.8197,0.8542,0.6154,0.854
3,Sensitivitas panjang HyDE,200-250,5,0.5993,0.8544,0.8889,0.604,0.8598
